,CH$_{4}$,Temperature,Pressure,Humidity,Dewpoint
0,0.8736395052793512,0.0205678889951054,0.0194719923638066,0.0681018308903805,0.0182187824713561
1,0.9669717211317168,0.0065441989165203,0.0094502097904907,0.0105098938905856,0.0065239762706863
2,0.5546989157266667,0.1907668371219213,0.0449989223125124,0.0831476270582606,0.1263876977806386
3,0.1336688150414245,0.1514212592552479,0.1004593776017208,0.1886404449608732,0.4258101031407335
4,0.0206775119991213,0.1673825939330183,0.1309210561851355,0.2362521007375828,0.4447667371451419
5,0.4859615372377672,0.1086229897559355,0.087054849296355,0.1547419670454542,0.1636186566644878
6,0.8650083002624223,0.0153960503509964,0.0287259707828142,0.0769325780579746,0.0139371005457923
7,0.9656917220504748,0.0076141238707651,0.0068421713872849,0.011853254643879,0.0079987280475959
8,0.4938298263630816,0.2064407227568863,0.065331618580202,0.0855516726699916,0.1488461596298384
9,0.1644225826364806,0.1008974910070095,0.0652108089113164,0.1547722543704502,0.5146968630747432
10,0.0092819120870012,0.1253107077179359,0.0940725595080557,0.2170506000189438,0.5542842206680634
11,0.5720438421275603,0.07750720117198939,0.06829643529494475,0.14115823615168632,0.14099428525381924
